"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1895-11-01,1895,11,23.72,195.36,-2.16793893129771,-2.16793893129771,6,6,-14.9618320610687,-14.9618320610687
1895-12-01,1895,12,48.8,214.82,-1.00763358778626,-1.00763358778626,7,7,-15.969465648855,-15.969465648855
1896-01-01,1896,1,26.98,219.14,-1.16923076923077,-1.16923076923077,8,8,-17.1386964180857,-17.1386964180857
1896-02-01,1896,2,158.36,338.5,1.35384615384615,0,0,0,0,0
1896-03-01,1896,3,27.04,326.48,1.16923076923077,0,0,0,0,0
1896-04-01,1896,4,26.12,311.02,1.41538461538462,0,0,0,0,0
1896-05-01,1896,5,65.08,352.38,1.72307692307692,0,0,0,0,0
1896-06-01,1896,6,23.9,327.48,1.74045801526718,0,0,0,0,0
1896-07-01,1896,7,10.06,310.56,1.9236641221374,0,0,0,0,0
1896-08-01,1896,8,39.64,191.84,-1.6793893129771,-1.6793893129771,1,1,-1.6793893129771,-1.6793893129771
1896-09-01,1896,9,11.98,176.78,-2.47328244274809,-2.47328244274809,2,2,-4.15267175572519,-4.15267175572519
1896-10-01,1896,10,16.22,166.88,-2.9618320610687,-2.9618320610687,3,3,-7.11450381679389,-7.11450381679389
1896-11-01,1896,11,53.88,155.68,-2.9618320610687,-2.9618320610687,4,4,-10.0763358778626,-10.0763358778626
1896-12-01,1896,12,13.54,145.32,-3.20610687022901,-3.20610687022901,5,5,-13.2824427480916,-13.2824427480916
1897-01-01,1897,1,76.14,211.4,-1.35384615384615,-1.35384615384615,6,6,-14.6362889019378,-14.6362889019378
1897-02-01,1897,2,5.06,176.82,-2.33846153846154,-2.33846153846154,7,7,-16.9747504403993,-16.9747504403993
1897-03-01,1897,3,2.18,167.02,-2.76923076923077,-2.76923076923077,8,8,-19.7439812096301,-19.7439812096301
1897-04-01,1897,4,0.62,151.42,-3.13846153846154,-3.13846153846154,9,9,-22.8824427480916,-22.8824427480916
1897-05-01,1897,5,48.1,145.64,-3.13846153846154,-3.13846153846154,10,10,-26.0209042865531,-26.0209042865531
1897-06-01,1897,6,60.92,193.02,-2.22900763358779,-2.22900763358779,11,11,-28.2499119201409,-28.2499119201409
1897-07-01,1897,7,74.76,191.64,-1.49618320610687,-1.49618320610687,12,12,-29.7460951262478,-29.7460951262478
1897-08-01,1897,8,37.46,224.04,-0.580152671755725,0,0,13,0,-30.3262477980035
1897-09-01,1897,9,46.94,268.8,1.43511450381679,0,0,0,0,0
1897-10-01,1897,10,19.6,287.78,1.49618320610687,0,0,0,0,0
1897-11-01,1897,11,10.88,250.56,-0.152671755725191,0,0,0,0,0
1897-12-01,1897,12,14.52,204.16,-1.49618320610687,-1.49618320610687,1,1,-1.49618320610687,-1.49618320610687
1898-01-01,1898,1,58.72,188.12,-2.09230769230769,-2.09230769230769,2,2,-3.58849089841456,-3.58849089841456
1898-02-01,1898,2,44.5,195.16,-1.72307692307692,-1.72307692307692,3,3,-5.31156782149148,-5.31156782149148
1898-03-01,1898,3,19.74,167.96,-2.70769230769231,-2.70769230769231,4,4,-8.01926012918379,-8.01926012918379
1898-04-01,1898,4,0.48,148.84,-3.2,-3.2,5,5,-11.2192601291838,-11.2192601291838
1898-05-01,1898,5,38.92,176.88,-2.58461538461538,-2.58461538461538,6,6,-13.8038755137992,-13.8038755137992
1898-06-01,1898,6,91.28,253.64,0.152671755725191,0,0,0,0,0
1898-07-01,1898,7,23,217.92,-0.519083969465649,0,0,0,0,0
1898-08-01,1898,8,76.44,249.86,0.702290076335878,0,0,0,0,0
1898-09-01,1898,9,19.26,249.38,0.580152671755725,0,0,0,0,0
1898-10-01,1898,10,36.66,285.56,1.37404580152672,0,0,0,0,0
1898-11-01,1898,11,10.12,256.76,0.274809160305344,0,0,0,0,0
1898-12-01,1898,12,33.8,199.28,-1.6793893129771,-1.6793893129771,1,1,-1.6793893129771,-1.6793893129771
1899-01-01,1899,1,18.06,194.34,-2.03076923076923,-2.03076923076923,2,2,-3.71015854374633,-3.71015854374633
1899-02-01,1899,2,11.08,128.98,-3.63076923076923,-3.63076923076923,3,3,-7.34092777451556,-7.34092777451556
1899-03-01,1899,3,17.46,127.18,-3.56923076923077,-3.56923076923077,4,4,-10.9101585437463,-10.9101585437463
1899-04-01,1899,4,51.78,142.3,-3.32307692307692,-3.32307692307692,5,5,-14.2332354668233,-14.2332354668233
1899-05-01,1899,5,7.26,139.44,-3.32307692307692,-3.32307692307692,6,6,-17.5563123899002,-17.5563123899002
1899-06-01,1899,6,53.14,158.78,-2.9618320610687,-2.9618320610687,7,7,-20.5181444509689,-20.5181444509689
1899-07-01,1899,7,56.32,197.04,-1.37404580152672,-1.37404580152672,8,8,-21.8921902524956,-21.8921902524956
1899-08-01,1899,8,52.82,238.78,-0.0305343511450382,0,0,9,0,-21.9227246036406
